Study,Observation,Title1,Journal1,Year1,Title2,Journal2,Year2,Title3,Journal3,Year3,Category,Country,Latitude,Longitude,Elevation,MAT,MAP,AI,AI_type,Clay,Sand,Silt,SOC,TN,CN,pH,Biomes,Sample_depth,Depth,Type,Duration,Duration_type,Magnitude,Magnitude_type,N_C,N_T,Microbical_types,Richness_RR,Richness_RR_var,Shannon_RR,Shannon_RR_var,SWC_RR,SWC_RR_var,pH_RR,pH_RR_var,ST_RR,ST_RR_var,SOC_RR,SOC_RR_var,DOC_RR,DOC_RR_var,NH4N_RR,NH4N_RR_var,CN_RR,CN_RR_var,MBC_RR,MBC_RR_var,MBN_RR,MBN_RR_var,Beta_RR,Beta_RR_var,Comp_RR,Comp_RR_var,Method
1,1,Resource Availability Drives Responses of Soil Microbial Communities to Short-term Precipitation and Nitrogen Addition in a Desert Shrubland,FRONTIERS IN MICROBIOLOGY,2018,Response of Artemisia ordosica Community to Water and Nitrogen Addition in the Mu Us Desert PhD thesis,Beijing Forestry University,2018,,,,Field,China,37.62,107.09,1556,8.1,284.8,0.2296,Dryland,13.7,56.7,29.6,2.90385,0.28,10.37089286,8.13218,Grassland,0_20,B,P+,2,B,20,A,4,4,Bacteria,0.013128897,1.1840411906069e-05,0.010352059,0.00107171831505395,0.513538206,0.0138521208390152,-0.007092075,0.00131290907528138,,,0.225523072,0.0263651316351636,,,-0.127000149,0.0862087724120388,,,,,,,,,,,
1,2,Resource Availability Drives Responses of Soil Microbial Communities to Short-term Precipitation and Nitrogen Addition in a Desert Shrubland,FRONTIERS IN MICROBIOLOGY,2018,Response of Artemisia ordosica Community to Water and Nitrogen Addition in the Mu Us Desert PhD thesis,Beijing Forestry University,2018,,,,Field,China,37.62,107.09,1556,8.1,284.8,0.2296,Dryland,13.7,56.7,29.6,2.90385,0.28,10.37089286,8.13218,Grassland,0_20,B,P+,2,B,40,C,4,4,Bacteria,0.092500995,8.17752462581786e-06,0.031748698,0.000744645018900491,0.683870216,0.0135031895689892,-0.007092075,0.00131290907528138,,,-0.077783322,0.0330912202388175,,,-0.272508336,0.118978498302076,,,,,,,,,,,
1,3,Resource Availability Drives Responses of Soil Microbial Communities to Short-term Precipitation and Nitrogen Addition in a Desert Shrubland,FRONTIERS IN MICROBIOLOGY,2018,Response of Artemisia ordosica Community to Water and Nitrogen Addition in the Mu Us Desert PhD thesis,Beijing Forestry University,2018,,,,Field,China,37.62,107.09,1556,8.1,284.8,0.2296,Dryland,13.7,56.7,29.6,2.90385,0.28,10.37089286,8.13218,Grassland,0_20,B,P+,2,B,20,A,4,4,Fungi,0.087749522,0.000667164719321694,0.040989345,0.011729353818685,0.513538206,0.0138521208390152,-0.007092075,0.00131290907528138,,,0.225523072,0.0263651316351636,,,-0.127000149,0.0862087724120388,,,,,,,,,,,
1,4,Resource Availability Drives Responses of Soil Microbial Communities to Short-term Precipitation and Nitrogen Addition in a Desert Shrubland,FRONTIERS IN MICROBIOLOGY,2018,Response of Artemisia ordosica Community to Water and Nitrogen Addition in the Mu Us Desert PhD thesis,Beijing Forestry University,2018,,,,Field,China,37.62,107.09,1556,8.1,284.8,0.2296,Dryland,13.7,56.7,29.6,2.90385,0.28,10.37089286,8.13218,Grassland,0_20,B,P+,2,B,40,C,4,4,Fungi,0.144914518,0.000411575098816848,0.044997366,0.0113802594492393,0.683870216,0.0135031895689892,-0.007092075,0.00131290907528138,,,-0.077783322,0.0330912202388175,,,-0.272508336,0.118978498302076,,,,,,,,,,,
2,5,A Drying-Rewetting Cycle Imposes More Important Shifts on Soil Microbial Communities than Does Reduced Precipitation,MSYSTEMS,2022,,,,,,,Field,Canada,45.47,-73.74,33,7.5,1000,1.004,Humid,29.6,33.5,36.9,54.65,5.68,9.621478873,6.15,Cropland,0_10,A,P-,0.25,A,25,B,6,6,Bacteria,-0.149838733,0.000142928930498319,-0.055611166,0.00635741534813911,-0.095310179,0.00132147562110719,,,,,,,,,,,,,,,,,-0.102202003,0.730415932291425,-0.08166308,0.773141607354621,PCoA
2,6,A Drying-Rewetting Cycle Imposes More Important Shifts on Soil Microbial Communities than Does Reduced Precipitation,MSYSTEMS,2022,,,,,,,Field,Canada,45.47,-73.74,33,7.5,1000,1.004,Humid,29.6,33.5,36.9,54.65,5.68,9.621478873,6.15,Cropland,0_10,A,P-,0.25,A,50,C,6,6,Bacteria,-0.164497932,0.000138756331411731,-0.06197657,0.00599193351254954,-0.237905079,0.00167931163069893,,,,,,,,,,,,,,,,,0.07429565,0.945073906347458,-0.041535158,0.981735071705672,PCoA
2,7,A Drying-Rewetting Cycle Imposes More Important Shifts on Soil Microbial Communities than Does Reduced Precipitation,MSYSTEMS,2022,,,,,,,Field,Canada,45.47,-73.74,33,7.5,1000,1.004,Humid,29.6,33.5,36.9,54.65,5.68,9.621478873,6.15,Cropland,0_10,A,P-,0.25,A,75,D,6,6,Bacteria,-0.037354276,0.00012007851988286,-0.03222302,0.00587478809285795,-0.69314718,0.0036356414342963,,,,,,,,,,,,,,,,,-0.070462165,0.765011227656196,-0.123094342,0.882509718899712,PCoA
2,8,A Drying-Rewetting Cycle Imposes More Important Shifts on Soil Microbial Communities than Does Reduced Precipitation,MSYSTEMS,2022,,,,,,,Field,Canada,45.47,-73.74,33,7.5,1000,1.004,Humid,29.6,33.5,36.9,54.65,5.68,9.621478873,6.15,Cropland,0_10,A,P-,0.25,A,25,B,6,6,Bacteria,0.000221902,0.00014174748399954,-0.011549054,0.00680208993178197,-0.041136905,0.00310390548209664,,,,,,,,,,,,,,,,,0.073121034,0.565013062047902,-0.128894139,0.665867363557253,PCoA
2,9,A Drying-Rewetting Cycle Imposes More Important Shifts on Soil Microbial Communities than Does Reduced Precipitation,MSYSTEMS,2022,,,,,,,Field,Canada,45.47,-73.74,33,7.5,1000,1.004,Humid,29.6,33.5,36.9,54.65,5.68,9.621478873,6.15,Cropland,0_10,A,P-,0.25,A,50,C,6,6,Bacteria,0.000443754,0.000135728747123193,-0.008250278,0.0063679509302171,-0.221884898,0.0026301700935278,,,,,,,,,,,,,,,,,0.219739309,0.620117837077228,-0.064288337,0.662393268438865,PCoA
2,10,A Drying-Rewetting Cycle Imposes More Important Shifts on Soil Microbial Communities than Does Reduced Precipitation,MSYSTEMS,2022,,,,,,,Field,Canada,45.47,-73.74,33,7.5,1000,1.004,Humid,29.6,33.5,36.9,54.65,5.68,9.621478873,6.15,Cropland,0_10,A,P-,0.25,A,75,D,6,6,Bacteria,-0.126140096,0.00014803121928182,-0.05861996,0.00662575216965827,-0.565837876,0.00738255880258206,,,,,,,,,,,,,,,,,0.054662503,0.534410479647682,-0.141462542,0.649048752629624,PCoA
2,11,A Drying-Rewetting Cycle Imposes More Important Shifts on Soil Microbial Communities than Does Reduced Precipitation,MSYSTEMS,2022,,,,,,,Field,Canada,45.47,-73.74,33,7.5,1000,1.004,Humid,29.6,33.5,36.9,54.65,5.68,9.621478873,6.15,Cropland,0_10,A,P-,0.25,A,25,B,6,6,Fungi,-0.024269156,0.000186926456584241,-0.048594788,0.00944608972967216,-0.095310179,0.00132147562110719,,,,,,,,,,,,,,,,,-0.066020282,1.32688309569792,0.172732124,1.09953633288512,PCoA
2,12,A Drying-Rewetting Cycle Imposes More Important Shifts on Soil Microbial Communities than Does Reduced Precipitation,MSYSTEMS,2022,,,,,,,Field,Canada,45.47,-73.74,33,7.5,1000,1.004,Humid,29.6,33.5,36.9,54.65,5.68,9.621478873,6.15,Cropland,0_10,A,P-,0.25,A,50,C,6,6,Fungi,-0.005759555,0.000114861412798028,-0.030794943,0.00504833320576232,-0.237905079,0.00167931163069893,,,,,,,,,,,,,,,,,-0.566243783,1.06021128048806,-0.004540455,0.862846061133732,PCoA
2,13,A Drying-Rewetting Cycle Imposes More Important Shifts on Soil Microbial Communities than Does Reduced Precipitation,MSYSTEMS,2022,,,,,,,Field,Canada,45.47,-73.74,33,7.5,1000,1.004,Humid,29.6,33.5,36.9,54.65,5.68,9.621478873,6.15,Cropland,0_10,A,P-,0.25,A,75,D,6,6,Fungi,-0.018841137,0.000120244239121722,0.00693133,0.00487735997408677,-0.69314718,0.0036356414342963,,,,,,,,,,,,,,,,,-0.467842227,1.11046969917225,-0.047360491,1.07273353153727,PCoA
2,14,A Drying-Rewetting Cycle Imposes More Important Shifts on Soil Microbial Communities than Does Reduced Precipitation,MSYSTEMS,2022,,,,,,,Field,Canada,45.47,-73.74,33,7.5,1000,1.004,Humid,29.6,33.5,36.9,54.65,5.68,9.621478873,6.15,Cropland,0_10,A,P-,0.25,A,25,B,6,6,Fungi,-0.0301682,0.000245328062534593,-0.033886389,0.00995229939389031,-0.041136905,0.00310390548209664,,,,,,,,,,,,,,,,,-0.094661157,0.748447446763437,-0.051704226,0.86666690779047,PCoA
2,15,A Drying-Rewetting Cycle Imposes More Important Shifts on Soil Microbial Communities than Does Reduced Precipitation,MSYSTEMS,2022,,,,,,,Field,Canada,45.47,-73.74,33,7.5,1000,1.004,Humid,29.6,33.5,36.9,54.65,5.68,9.621478873,6.15,Cropland,0_10,A,P-,0.25,A,50,C,6,6,Fungi,-0.011958289,0.000204797738500609,-0.025075478,0.00771115100934422,-0.221884898,0.0026301700935278,,,,,,,,,,,,,,,,,-0.261504336,0.808101373936651,-0.061734314,0.874387108292336,PCoA
2,16,A Drying-Rewetting Cycle Imposes More Important Shifts on Soil Microbial Communities than Does Reduced Precipitation,MSYSTEMS,2022,,,,,,,Field,Canada,45.47,-73.74,33,7.5,1000,1.004,Humid,29.6,33.5,36.9,54.65,5.68,9.621478873,6.15,Cropland,0_10,A,P-,0.25,A,75,D,6,6,Fungi,-0.040636276,0.000208366970027643,-0.037527822,0.0101144216266464,-0.565837876,0.00738255880258206,,,,,,,,,,,,,,,,,0.318653615,1.04045923158898,-0.051114144,1.00890725110082,PCoA
3,17,Differential responses of soil bacteria and fungi to altered precipitation in a meadow steppe,GEODERMA,2021,"Microbial network structure, not plant and microbial community diversity, regulates multifunctionality under increased precipitation in a cold steppe",FRONTIERS IN MICROBIOLOGY,2024,The Responses and Mechanisms of Ecosystem Carbon Cycle to Precipitation Variation in Songnen Leymus chinensis Meadow PhD thesis,Northeast Normal University,2022,Field,China,44.7,123.76,155,6.3,430,0.33,Dryland,20,53.1,26.9,5.52,0.83,6.65060241,9.63,Grassland,0_10,A,P+,1,A,30,B,4,4,Bacteria,-0.093673177,2.74739582148813e-06,-0.039766671,0.000997143467492995,0.067428576,0.0011079601777033,0.00724266,0.000802536676601065,-0.01124724,0.000581708592321642,0.163424317,0.0165802085236432,0.036083513,0.000197887743090396,,,,,-0.289522955,0.000547933099100295,,,,,,,
